機構名稱,縣市,縣市代碼,行政區,行政區代碼,地址全址,經度,緯度,特約服務項目,機構電話,電子郵件,機構負責人姓名,最後異動時間
臺北市私立千千之家社區式服務類長期照顧服務機構(家庭托顧),臺北市,63000,北投區,63000120,臺北市北投區永欣里同德街27巷16號,121.5291824,25.12496376,家庭托顧服務,02-28722140,naro@ms66.url.com.tw,彭麗蓉,20240206 11:00:26
臺北市私立台大老人長期照顧中心(養護型),臺北市,63000,松山區,63000010,臺北市松山區敦化里敦化南路一段7號,121.5492859,25.04690552,喘息服務,02-25792816,tai_da_168@yahoo.com.tw,鄭淑卿,20221229 22:51:42
臺北市私立群英老人長期照顧中心(養護型),臺北市,63000,松山區,63000010,臺北市松山區敦化里敦化南路一段7號4樓,121.5492859,25.04690552,喘息服務,02-25791400,tai_da_168@yahoo.com.tw,鄭淑芬,20221229 22:51:23
臺北市私立中山老人長期照顧中心(養護型),臺北市,63000,萬華區,63000070,臺北市萬華區菜園里峨眉街124號1樓,121.501976,25.04462242,喘息服務,02-23759590,fen.lan8888@gmail.com,趙芬蘭,20221230 19:10:01
新北市私立皇冠老人養護中心,新北市,65000,新店區,65000060,新北市新店區明德里民權路60號4樓,121.5385818,24.98309135,喘息服務,02-291571112,minilo1688@yahoo.com.tw,黃伯超,20221229 23:17:45
臺北市私立倚青園老人長期照顧中心(養護型),臺北市,63000,北投區,63000120,臺北市北投區永明里義理街63巷4弄7、11之1~3號1樓,121.5152893,25.1176033,喘息服務,02-28283533,yiqingyuan112@gmail.com,劉昱森,20221230 20:33:08
臺北市私立豪門老人長期照顧中心(養護型),臺北市,63000,北投區,63000120,臺北市北投區大同里北投大業路452巷2號6-9F,121.4972916,25.13171959,喘息服務,228954492,noahsang@gmail.com,張妤安,20221230 20:18:13
臺北市私立貴族老人長期照顧中心(養護型),臺北市,63000,北投區,63000120,臺北市北投區大同里北投大業路452巷2號2-5f,121.4972916,25.13171959,喘息服務,02-28965555,noahsang@gmail.com,桑予群,20221230 20:45:00
臺北市私立康壯老人長期照顧中心(養護型),臺北市,63000,松山區,63000010,臺北市松山區吉祥里八德路四段203號.205號,121.5638504,25.04898071,喘息服務,02-27686697,yao4343@yahoo.com.tw,李碧欗,20221229 22:32:00
臺北市私立晨欣老人長期照顧中心(養護型),臺北市,63000,中山區,63000040,臺北市中山區集英里中山北路2段96巷19號3樓,121.5219193,25.05989647,喘息服務,02-25212226,chenxin96193@gmail.com,李政勳,20221229 23:17:29
臺北市私立高德老人長期照顧中心(養護型),臺北市,63000,北投區,63000120,臺北市北投區清江里磺港路156號,121.5029678,25.12871361,喘息服務,02-28982418,nkd28982418@gmail.com,鄭人豪,20221216 10:07:15
頤園護理之家,臺北市,63000,士林區,63000110,臺北市士林區重慶北路4段138、140、142號1-4樓,121.512619,25.08384895,喘息服務,2811-9666,eyuan28119666@gmail.com,耿瑛鎂,20210112 23:04:25
新北市私立慈美護理之家,新北市,65000,中和區,65000030,新北市中和區中山路2段315巷2號4樓、317號6樓,121.4940262,25.00173569,喘息服務,02-22467727,juliaguo2670@yahoo.com.tw,張美素,20221229 22:05:39
遠東護理之家,新北市,65000,新店區,65000060,新北市新店區民權路129號2樓、131號2樓、133號2樓及129號4床,121.5352325,24.98263168,喘息服務,02-22186820,nurse1292@gmail.com,羅德蘭,20221229 22:32:22
宏十字護理之家,新北市,65000,深坑區,65000180,新北市深坑區北深路三段99至105號7、8樓,121.6059265,25.00171471,喘息服務,02-26626893,A49877920@gmail.com,張麗英,20221230 20:22:40
吉翔護理之家,臺北市,63000,大同區,63000060,臺北市大同區甘州街55號4、7、8樓,121.5128784,25.0599556,喘息服務,02 25520553,gishean@yahoo.com.tw,羅春月,20221229 20:56:50
寶興護理之家,新北市,65000,新店區,65000060,新北市新店區寶興路39號2樓至4樓、41號2樓至5樓,121.5491333,24.97420883,喘息服務,02-29109980,bcnh2015@gmail.com,廖麗如,20221229 22:16:22
新北市私立至傑護理之家,新北市,65000,板橋區,65000010,新北市板橋區和平路14巷9號1-2樓、9之1號1樓,121.4615173,24.99287415,喘息服務,02-89641787,a1952000@yahoo.com.tw,黃惠珍,20230202 16:40:01
新光醫療財團法人附設新光居家護理所,臺北市,63000,士林區,63000110,臺北市士林區福佳里文昌路95號,121.5209808,25.09628105,專業照護服務,02-28332211#2600,R000264@ms.skh.org.tw,張芬娥,20221230 20:41:53
博仁綜合醫院附設居家護理所,臺北市,63000,松山區,63000010,臺北市松山區復勢里光復北路66號,121.5576859,25.04990959,專業照護服務,02-25782518#2300,pojenghhomecare@gmail.com,曾月盃,20221229 23:18:37
臺北市獨立型態南港居家護理所,臺北市,63000,南港區,63000090,臺北市南港區聯成里東新街13巷7號,121.5858383,25.04794502,專業照護服務,02-27856997,nancybear1314@gmail.com,施人文,20221229 23:19:09
財團法人獎卿護理展望基金會大台北居家護理所,臺北市,63000,大安區,63000030,臺北市大安區龍坡里和平東路一段216號,121.5318604,25.02602959,專業照護服務,02-23646040#17,ccfhcn@yahoo.com.tw,王金蓮,20221230 15:21:42
基督復臨安息日會醫療財團法人臺安醫院附設居家護理所,臺北市,63000,松山區,63000010,臺北市松山區民福里八德路二段424號,121.5473404,25.04805374,專業照護服務,02-27718151#2831,130679@tahsda.org.tw,夏姿慧,20221229 23:19:25
三軍總醫院松山分院附設民眾診療服務處附設居家護理所,臺北市,63000,松山區,63000010,臺北市松山區龍田里健康路131號,121.5576706,25.05437279,專業照護服務,02-27617086,avid.nemuca@msa.hinet.net,張郁敏,20221229 22:56:48
國泰醫療財團法人附設居家護理所,臺北市,63000,大安區,63000030,臺北市大安區敦煌里仁愛路四段280號,121.5535812,25.03688812,專業照護服務,02-27082121#3956,273118@cgh.org.tw,洪怡蘋,20221230 20:31:42
宜寧居家護理所,臺北市,63000,士林區,63000110,臺北市士林區前港里承德路四段235號9樓,121.522377,25.08704567,專業照護服務,02-28822382,karenchang0913@gmail.com,張肇仙,20221230 15:20:28
臺北榮民總醫院,臺北市,63000,北投區,63000120,臺北市北投區永欣里石牌路二段201號,121.5203857,25.1192112,專業照護服務,228712121,huangms@vghtpe.gov.tw,陳威明,20221230 20:45:54
包子居家護理所,臺北市,63000,中山區,63000040,臺北市中山區通明新生北路三段82巷23號,121.5268097,25.06715393,專業照護服務,02-25931596,Bread1119@gmail.com,黃獻賢,20190417 00:00:00
財團法人臺灣省私立臺北仁濟院附設仁濟醫院附設居家護理所,臺北市,63000,萬華區,63000070,臺北市萬華區青山里廣州街243號,121.4980392,25.03688812,專業照護服務,23021133,homecare@tjci.org.tw,陳麗蘋,20221229 22:17:48
春暖居家護理所,新北市,65000,汐止區,65000110,新北市汐止區保長里大同路二段458號2樓,121.6835861,25.07311821,專業照護服務,02-26481736,yunjil334889@gmail.com,蔡芸婕,20221230 19:12:22
吉馨安居家護理所,臺北市,63000,大同區,63000060,臺北市大同區甘州路51號4樓,121.5128784,25.05964851,專業照護服務,0921-066248,sinannurse@gmail.com,黃湘茹,20230106 20:33:25
合康居家護理所,臺北市,63000,萬華區,63000070,臺北市萬華區頂碩里西藏路170號,121.5033646,25.03004265,專業照護服務,,biglongtoday0706@gmail.com,鄭歆悅,20221229 22:23:13
安歆居家護理所,臺北市,63000,中山區,63000040,臺北市中山區松江路50號3樓,121.5326614,25.04817963,專業照護服務,02-25372586,crcanhsin@gmail.com,余建華,20221229 22:34:41
臺北市獨立型態成福居家護理所,臺北市,63000,南港區,63000090,臺北市南港區百福里成福路204號,121.5885696,25.04058266,專業照護服務,02-27850802,chen_41@yahoo.com.tw,張美娟,20221229 23:18:53
永昱居家呼吸照護所,臺北市,63000,大同區,63000060,臺北市大同區玉泉里南京西路155巷28號,121.5136032,25.05461884,專業照護服務,02-25560795,mg1314520@gmail.com,林育如,20210112 11:41:37
臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市,63000,文山區,63000080,臺北市文山區興光里興隆路三段111號,121.5581436,24.99990082,專業照護服務,02-29307930#1683,90236@w.tmu.edu.tw,劉燦宏,20221230 18:22:01
臺北市立聯合醫院(中興院區),臺北市,63000,大同區,63000060,臺北市大同區玉泉里鄭州路145號,121.5093231,25.05097008,專業照護服務,02-25523234#3253,B2141@tpech.gov.tw,蕭勝煌,20221230 12:14:51
適健復健診所,臺北市,63000,大安區,63000030,臺北市大安區建倫里忠孝東路四段166號,121.5505676,25.04114532,專業照護服務,02-87717039,scrc.service@gmail.com,陳昭蓉,20221230 20:09:10
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,63000,中山區,63000040,臺北市中山區中山北路二段92號,121.5223694,25.05883217,專業照護服務,02-25604176,mwang@mmh.org.tw,張文瀚,20221230 18:22:27
臺北市立聯合醫院(忠孝院區),臺北市,63000,南港區,63000090,臺北市南港區中南里同德路87號,121.5861588,25.04660416,專業照護服務,02-27861288#8281,B0430@tpech.gov.tw,蕭勝煌,20221230 12:15:32
臺北市立聯合醫院(仁愛院區),臺北市,63000,大安區,63000030,臺北市大安區仁慈里仁愛路四段10號,121.5452271,25.03751183,專業照護服務,02-27093600#3113,A0019@tpech.gov.tw,蕭勝煌,20221230 12:16:00
臺北市立聯合醫院(陽明院區),臺北市,63000,士林區,63000110,臺北市士林區岩山里雨聲街105號,121.5314865,25.1048317,專業照護服務,02-28353456,B1882@tpech.gov.tw,蕭勝煌,20221230 12:16:21
臺北市立聯合醫院(和平婦幼院區),臺北市,63000,中正區,63000050,臺北市中正區社寮中華路二段33號,121.5066833,25.03553009,專業照護服務,02-23889595#8417,B1049@tpech.gov.tw,蕭勝煌,20221230 12:17:11
臺北市立聯合醫院(林森中醫院區),臺北市,63000,中山區,63000040,臺北市中山區健民林森北路530號,121.5254745,25.06346321,專業照護服務,02-25916681#1320,A4430@tpech.gov.tw,蕭勝煌,20190417 00:00:00
好日子心理治療所,新北市,65000,三重區,65000020,新北市三重區田心里正義北路227號,121.4959946,25.06900024,專業照護服務,0968-063864,chenwin888@gmail.com,陳映程,20190417 00:00:00
財團法人私立台北醫學大學附設醫院附設居家護理所,臺北市,63000,信義區,63000020,臺北市信義區莊敬路330號5樓,121.5631104,25.02704048,營養餐飲服務,02-27372181#3938,tmchchn@h.tmu.edu.tw,陳麗絹,20221230 20:13:26
大東健保藥局,臺北市,63000,士林區,63000110,臺北市士林區仁勇里大東路86之4號,121.5257492,25.09113121,專業照護服務,02-28838940,newly_beer@yahoo.com.tw,郭雅芝,20210112 11:42:01
柏愛藥局,新北市,65000,永和區,65000040,新北市永和區復興里博愛街26號,121.5184479,25.01576233,專業照護服務,02-89285609,boaipharmacy.201306@gmail.com,鄭文柏,20190417 00:00:00
社團法人臺北市物理治療師公會,臺北市,63000,松山區,63000010,臺北市松山區新益里八德路二段374號,121.5460815,25.04787827,專業照護服務,02-87732464,taipeipt0305@gmail.com,林素雲,20210113 00:28:36
安健維康物理治療所,臺北市,63000,松山區,63000010,臺北市松山區新東里南京東路四段183號,121.5564957,25.05183411,專業照護服務,02-27177600,ogeypt@gmail.com,黃博靖,20221229 22:35:02
同仁物理治療所,新北市,65000,土城區,65000130,新北市土城區埤林里中央路四段127號,121.4163055,24.95754242,專業照護服務,02-80763952#312,ida-chang@yahoo.com.tw,張秀娟,20221230 18:29:35
跑居家物理治療所,臺北市,63000,士林區,63000110,臺北市士林區葫東里重慶北路四段248號,121.5113983,25.08662033,專業照護服務,0907-091302,a770222boy@gmail.com,張沅輔,20221230 20:19:49
哈佛物理治療所,臺北市,63000,萬華區,63000070,臺北市萬華區西圓路二段362號7樓,121.4916,25.02540779,專業照護服務,02-82588536,jeffreytseng91@yahoo.com,曾致傑,20221229 21:47:34
好物理治療所,臺北市,63000,文山區,63000080,臺北市文山區萬隆里萬隆街64號,121.5370026,25.00092125,專業照護服務,,imio1688@gmail.com,林佑青,20221229 22:44:45
適悅物理治療所,臺北市,63000,中山區,63000040,臺北市中山區龍江路114巷1號,121.5401917,25.05319595,專業照護服務,,j3677296@gmail.com,丁俊文,20221229 22:43:25
勁緻物理治療所,臺北市,63000,中山區,63000040,臺北市中山區安民樂群三路71號,121.5535583,25.08280373,專業照護服務,02-85025822,zenithptc@gmail.com,邱炫偉,20221229 22:36:43
社團法人臺灣職能學會,臺北市,63000,中正區,63000050,臺北市中正區德義博愛路9號,121.5114441,25.04741669,專業照護服務,02-23820103,otaroc.taipei@gmail.com,張玲慧,20190417 00:00:00
大心居家職能治療所,臺北市,63000,士林區,63000110,臺北市士林區天祿里中山北路六段754巷22之1號,121.5290527,25.1145649,專業照護服務,02-77518057,bigheartot@gmail.com,彭紹宇,20221226 13:18:54
壽合居家職能治療所,臺北市,63000,文山區,63000080,臺北市文山區興家里興隆路三段221巷4弄14號,121.560112,24.9936924,專業照護服務,0933-004397,ensonwhj@yahoo.com.tw,吳鴻章,20221229 22:56:29
新康居家職能治療所,臺北市,63000,士林區,63000110,臺北市士林區葫東里重慶北路四段248號,121.5113983,25.08662033,專業照護服務,02-28164533#312,newhealthot@gmail.com,洪于婷,20221230 20:27:12
好朋友居家職能治療所,臺北市,63000,中山區,63000040,臺北市中山區撫順街25號9樓之4,121.5203171,25.06358337,專業照護服務,02-89136000,hami610@gmail.com,陳偉修,20221229 22:19:03
孝恩居家職能治療所,臺北市,63000,萬華區,63000070,臺北市萬華區興德里富民路145巷15弄11號,121.4998245,25.01853561,專業照護服務,0968-999365,mengjen88@gmail.com,魏孟振,20190417 00:00:00
惠璿諮詢中心,臺北市,63000,信義區,63000020,臺北市信義區智誠忠孝東路五段372巷29弄15號,121.5743866,25.03921127,專業照護服務,02-23457740,dietitian.shan@gmail.com,陳惠櫻,20190417 00:00:00
台灣聽力語言學會,臺北市,63000,中山區,63000040,臺北市中山區健民雙城街4巷2號,121.5241623,25.06327438,專業照護服務,02-25996095,slha.meeting@gmail.com,洪菱濃,20210112 11:34:07
財團法人獎卿護理展望基金會私立臺北居家長照機構,臺北市,63000,大安區,63000030,臺北市大安區龍坡里和平東路一段216號,121.5318604,25.02602959,喘息服務,02-23646040#24,ccfhcn@yahoo.com.tw,王仁宏,20221229 22:59:04
C+-財團法人台北市中華基督教浸信會慈光堂,臺北市,63000,士林區,63000110,臺北市士林區翠山里中社路一段43巷3號,121.5602036,25.10877419,喘息服務,02-28412290,shoujen2318@gmail.com,柴漢熙,20230202 17:05:22
財團法人天主教聖母聖心會,臺北市,63000,中正區,63000050,臺北市中正區中山北路一段2號,121.5194931,25.04605675,喘息服務,02-23028934,marie_la_frat@yahoo.com,王秀枝,20190417 00:00:00
社團法人臺北市向日葵慈善協會,臺北市,63000,松山區,63000010,臺北市松山區東勢里南京東路四段133巷7弄7號,121.5554123,25.05254555,喘息服務,02-87700650,bnwdh12a@gmail.com,蔡秀琴,20221229 23:13:01
財團法人私立台北仁濟院(大同區),臺北市,63000,萬華區,63000070,臺北市萬華區廣州街200號,121.4980927,25.03668022,營養餐飲服務,,chieh.chi@tjci.org.tw,林明成,20210128 20:19:56
財團法人私立台北仁濟院(萬華區),臺北市,63000,萬華區,63000070,臺北市萬華區廣州街200號,121.4980927,25.03668022,營養餐飲服務,,hanwei.chen@tjci.org.tw,林明成,20210128 20:21:00
社團法人新北市臨床心理師公會,新北市,65000,永和區,65000040,新北市永和區文化里博愛街20巷1號,121.5180664,25.01574326,專業照護服務,02-89253044,psy2153@gmail.com,陳映程,20190417 00:00:00
社團法人台灣愛鄰社區服務協會(大安區),臺北市,63000,大安區,63000030,臺北市大安區龍門里和平東路二段24號11樓,121.5364761,25.02557564,營養餐飲服務,02-23692674,peter.chu@breadoflife.taipe,莊碧明,20190807 11:27:07
臺北市永昌長青會,臺北市,63000,中正區,63000050,臺北市中正區永昌里寧波西街181巷24號,121.5100784,25.02655411,營養餐飲服務,02-23071068,tyc.ch@msa.hinet.net,林萬出,20210129 18:15:49
生通股份有限公司,臺北市,63000,中山區,63000040,臺北市中山區民權東路一段55號,121.5248871,25.06290627,交通接送服務,02-25997667,doreen@wcarsharing.com,陳金棍,20230307 09:21:21
福倫交通股份有限公司,臺北市,63000,信義區,63000020,臺北市信義區松隆路337號1樓,121.5797272,25.04851723,交通接送服務,02-27635888#18,successtaxi@gmail.com,吳俊德,20230201 09:05:31
康健小客車租賃有限公司,新北市,65000,三峽區,65000090,新北市三峽區中正路一段26號,121.3758774,24.93103981,交通接送服務,02-26718598,Kj.service6155@gmail.com,陳思妤,20230201 09:03:41
泰林中西藥局,新北市,65000,泰山區,65000160,新北市泰山區泰林路2段206號,121.4333725,25.0614357,專業照護服務,02-22978367,ed7chen@gmail.com,陳昭元,20190704 14:02:14
百齡診所附設護理之家,臺北市,63000,士林區,63000110,臺北市士林區葫東里重慶北路4段187號3-8樓,121.5112686,25.08425713,喘息服務,02 28113113,nursinghome2009@hotmail.com,陳雅玲,20221230 15:23:22
財團法人一粒麥子社會福利慈善事業基金會(中正國宅社區照顧關懷據點),臺北市,63000,萬華區,63000070,臺北市萬華區青年路52號1樓之2,121.5034943,25.02548409,喘息服務,02-2309-0660,liz@wheat.org.tw,呂信雄,20220407 13:34:42
C+ 社團法人台北市向日葵慈善協會,臺北市,63000,松山區,63000010,臺北市松山區東勢里南京東路4段133巷7弄9號1樓,121.5554276,25.05258751,喘息服務,8770-6501 #17,respite.sf@gmail.com,陳四輝,20230206 10:44:13
國泰醫療財團法人國泰綜合醫院附設居家護理所,臺北市,63000,大安區,63000030,臺北市大安區敦煌里仁愛路4段280號第一分館(B2F),121.5548172,25.03645325,專業照護服務,02-27082121*3956、3959,273118@cgh.org.tw,洪怡蘋,20230202 17:19:50
新北市永和區得和社區發展協會(社照C),新北市,65000,永和區,65000040,新北市永和區永元里秀朗路2段24巷35號,121.5202637,25.00196266,巷弄長照站,2924-7766、2924-9067、0918-161-479,deartoad333@Yahoo.com.tw,呂卓春英,20230531 21:22:37
新北市永和區秀朗社區發展協會(社照C),新北市,65000,永和區,65000040,新北市永和區秀朗里成功路1段20號-1,121.5269928,25.00498772,巷弄長照站,02-29277654,Entri1688@gmail.com,蔡輝雄,20230601 19:05:56
新北市板橋區親子服務協會(社照C),新北市,65000,板橋區,65000010,新北市板橋區中正里中正路413巷2弄26號B1,121.4531326,25.02344894,巷弄長照站,2953-5919,ccchungdaw@mohw.gov.tw,黃秀美,20240531 20:54:50
新北市板橋區板新社區發展協會(社照C),新北市,65000,板橋區,65000010,新北市板橋區西安里民生路二段89號之1號,121.4727859,25.0156498,巷弄長照站,2953-4297,chuma0702@gmail.com,黃秀美,20230609 12:01:43
新北市板橋溪崑關懷慈善會(溪福)(社照C),新北市,65000,板橋區,65000010,新北市板橋區溪福里金門街366巷7號,121.4273148,24.98401451,巷弄長照站,0932-142503,ben1040@kimo.com,陳淑美,20230630 14:14:49
